HER1;Date;%_Assec;Freq_j+6;Freq_j+5;Freq_j+4;Freq_j+3;Freq_j+2;Freq_j+1;Freq_j;Freq_j-1;Freq_j-2;Freq_j-3;Freq_j-4;Freq_j-5;Freq_j-6
1;25-05-2012;1.13636363636364;0.646683309647006;0.83448659383408;0.933304941082516;0.940006464482148;0.888386141777665;0.830675680322121;0.790531223037338;0.731234257575445;0.731234257575445;0.710936706954732;0.684477474975273;0.665435092448799;0.636651512269517
1;25-06-2012;6.81818181818182;0.531487484210481;0.566476052582662;0.526618125859142;0.495115168100796;0.473923178013319;0.456805801363349;0.440790950446237;0.411755930154677;0.411755930154677;0.398719279555372;0.386484475276556;0.391908663097818;0.442665536083045
1;24-07-2012;15.9090909090909;0.313051809553409;0.30294080264028;0.293790596905271;0.284680892199183;0.276115408308016;0.267918252568696;0.260395924378164;0.24917895713283;0.24917895713283;0.263579096660867;0.290037304341925;0.265436612471695;0.247081340911647
1;25-08-2012;28.4090909090909;0.184073665525461;0.178136971946537;0.172082831625787;0.166516837913072;0.16159350325855;0.156863329500902;0.153848133927245;0.155337229627546;0.155337229627546;0.170818005837491;0.170771569129815;0.202123240400973;0.197000557751527
1;25-09-2012;34.0909090909091;0.120682528014614;0.110203673364078;0.104934285310576;0.101335216830701;0.107643322373695;0.123724190607888;0.12218401246704;0.14201762308612;0.14201762308612;0.138066034200761;0.254488144706573;0.412177119795114;0.298762296711485
2;25-05-2012;0;0.792344359172986;0.85401292400851;0.913865029840161;0.893961515247395;0.865329071409088;0.869678706671758;0.90327025279581;0.928401751677486;0.928401751677486;0.930158962958922;0.913339394686597;0.909290743658284;0.893289013365337
2;25-06-2012;0;0.678594090666085;0.683366487043806;0.690975544923899;0.667119674976815;0.639015636353718;0.620500901096503;0.60577059680323;0.565709136326442;0.565709136326442;0.54673138770389;0.529583211499645;0.513116041787137;0.520985185423599
2;25-07-2012;6.52173913043478;0.3390745005728;0.330012357863728;0.320395246849599;0.313889920899024;0.31552045027549;0.293067112978015;0.279777268997872;0.261042309421199;0.261042309421199;0.26861246325896;0.274026613168949;0.253811649664503;0.242258229556489
2;25-08-2012;18.6046511627907;0.156391854563308;0.153720690087829;0.144833543069118;0.142357907042715;0.140468924554034;0.134586642845453;0.17655279068245;0.165150557743713;0.165150557743713;0.14941313698107;0.17415766690306;0.234632452675795;0.254166313676286
2;25-09-2012;12.1951219512195;0.215424030222028;0.182083359118433;0.173249853363155;0.180448559816704;0.189999996290437;0.279167917516775;0.356599622279199;0.480497269761606;0.480497269761606;0.330999597621515;0.394348869674322;0.503822557634608;0.376746784463477
3;25-05-2012;0;0.617614731368634;0.775961972085545;0.932164887191551;0.978097298264077;0.972715745833557;0.938284996364864;0.903440512232538;0.8557867695487;0.8557867695487;0.831438470202397;0.797717414732765;0.770653593607181;0.749052460831685
3;25-06-2012;0;0.633615007965293;0.635152855425138;0.605611508382149;0.580917337370421;0.558217174597287;0.536334092538605;0.517448605328416;0.483491631468447;0.483491631468447;0.466546668288907;0.451118425667668;0.454864227940749;0.542912920782277
